Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.05     96.51     0.05                             std::_Tuple_impl<3u, float&, float&>::_M_head(std::_Tuple_impl<3u, float&, float&> const&)
  0.05     96.56     0.05                             std::__tuple_compare<0u, 1u, 5u, std::tuple<unsigned int&, unsigned int&, float&, float&, float&>, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> >::__less(std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&)
  0.05     96.61     0.05                             void std::__insertion_sort<__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*)>(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*))
  0.05     96.66     0.05                             void std::iter_swap<__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > >(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >)
  0.04     96.70     0.04                             void TnlOptimize::index<WaterVertex>(std::vector<WaterVertex, std::allocator<WaterVertex> >&, std::vector<unsigned short, std::allocator<unsigned short> >&)
  0.04     96.74     0.04                             GraphicsSystem::setupLight(Scene const&, Tempest::VertexShader&, Tempest::FragmentShader&, Tempest::Texture2d const&, Tempest::Texture2d const&, Tempest::Texture2d const&)
  0.04     96.78     0.04                             GraphicsSystem::MaterialSort::terrain(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*)
  0.04     96.82     0.04                             GraphicsSystem::blurSm(Tempest::Texture2d&, Tempest::Texture2d&, Scene const&)
  0.04     96.86     0.04                             GUIPass::setBlendMode(Tempest::BlendMode)
  0.04     96.90     0.04                             Tempest::UniformTable::addImpl(float, char const*, Tempest::UniformTable::Taget)
  0.04     96.94     0.04                             Tempest::LocalBufferHolder<Tempest::IndexBufferHolder>::deleteObject(Tempest::AbstractAPI::IndexBuffer*)
  0.04     96.98     0.04                             Tempest::Detail::Atomic::begin()
  0.04     97.02     0.04                             void Tempest::Device::drawIndexed<GUIPass::Vertex, unsigned short>(Tempest::AbstractAPI::PrimitiveType, Tempest::VertexShader const&, Tempest::FragmentShader const&, Tempest::VertexDeclaration const&, Tempest::VertexBuffer<GUIPass::Vertex> const&, Tempest::IndexBuffer<unsigned short> const&, int, int, int)
  0.04     97.06     0.04                             Scenario::unProjectRz(int, int, float&)
  0.04     97.10     0.04                             bool __gnu_cxx::operator< <Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > const&, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > const&)
  0.04     97.14     0.04                             World::unitUnderMouse(int, int, int, int) const
  0.04     97.18     0.04                             World::zAt(float, float) const
  0.04     97.22     0.04                             std::_Hashtable<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::allocator<std::pair<WaterVertex const, unsigned short> >, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, std::equal_to<WaterVertex>, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true>::_M_find_node(unsigned int, WaterVertex const&, unsigned int) const
  0.04     97.26     0.04                             std::vector<MVertex, std::allocator<MVertex> >::operator[](unsigned int) const
  0.04     97.30     0.04                             std::vector<GUIPass::GeometryBlock, std::allocator<GUIPass::GeometryBlock> >::size() const
  0.04     97.34     0.04                             std::vector<Tempest::LocalBufferHolder<Tempest::IndexBufferHolder>::NonFreed, std::allocator<Tempest::LocalBufferHolder<Tempest::IndexBufferHolder>::NonFreed> >::size() const
  0.04     97.38     0.04                             std::vector<Tempest::AbstractHolder<Tempest::IndexBufferBase, Tempest::AbstractAPI::IndexBuffer>::ImplManip::Ref*, std::allocator<Tempest::AbstractHolder<Tempest::IndexBufferBase, Tempest::AbstractAPI::IndexBuffer>::ImplManip::Ref*> >::size() const
  0.04     97.42     0.04                             std::vector<TerrainChunk, std::allocator<TerrainChunk> >::operator[](unsigned int)
  0.04     97.46     0.04                             std::vector<Tempest::LocalBufferHolder<Tempest::IndexBufferHolder>::NonFreed, std::allocator<Tempest::LocalBufferHolder<Tempest::IndexBufferHolder>::NonFreed> >::operator[](unsigned int)
  0.04     97.50     0.04                             std::vector<int, std::allocator<int> >::operator[](unsigned int)
  0.04     97.54     0.04                             std::__detail::_Hashtable_ebo_helper<0, std::equal_to<WaterVertex>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::equal_to<WaterVertex>, true> const&)
  0.04     97.58     0.04                             std::__add_c_ref<float&>::type std::__get_helper<2u, float&, float&, float&>(std::_Tuple_impl<2u, float&, float&, float&> const&)
  0.04     97.62     0.04                             void std::__unguarded_insertion_sort<__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*)>(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*))
  0.04     97.66     0.04                             double const& std::max<double>(double const&, double const&)
  0.04     97.70     0.04                             Tempest::AbstractGraphicObject<Material> const* const& std::forward<Tempest::AbstractGraphicObject<Material> const* const&>(std::remove_reference<Tempest::AbstractGraphicObject<Material> const* const&>::type&)
  0.03     97.73     0.04                             Terrain::heightAt(float, float) const
  0.03     97.77     0.03                             PixmapsPool::TexturePtr::TexturePtr()
  0.03     97.80     0.03                             FileSerialize::read(int&)
  0.03     97.83     0.03                             GraphicsSystem::fillShadowMap(Tempest::Texture2d&, Tempest::Texture2d&, Scene const&, bool)
  0.03     97.86     0.03                             GraphicsSystem::makeShadowMatrix(Scene const&, float*, float)
  0.03     97.89     0.03                             World::coordCastD(double)
  0.03     97.92     0.03                             Tempest::RenderState::~RenderState()
  0.03     97.94     0.03                             void Tempest::UniformTable::add<Tempest::Texture2d>(Tempest::Texture2d const&, char const*, Tempest::UniformTable::Taget)
  0.03     97.97     0.03                             Tempest::UniformTable::addImpl(float const*, int, char const*, Tempest::UniformTable::Taget)
  0.03     98.00     0.03                             Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::delRef(Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref*)
  0.03     98.03     0.03                             Tempest::Detail::Ptr<Tempest::AbstractAPI::Texture*, Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip>::delRef()
  0.03     98.06     0.03                             void Tempest::Device::setUniform<Tempest::Texture2d>(Tempest::FragmentShader&, Tempest::Uniform<Tempest::Texture2d> const&)
  0.03     98.09     0.03                             Resource::load(Resource::Box<Resource::Texture>&, std::string const&, std::string const&, bool)
  0.03     98.13     0.03                             RichText::rText(int, int, Resource&, Tempest::Painter*, std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > const&, Tempest::Size&)
  0.03     98.16     0.03                             __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::__normal_iterator(unsigned int* const&)
  0.03     98.19     0.03                             array2d<TerrainChunk>::height() const
  0.03     98.22     0.03                             std::_Hashtable<MVertex, std::pair<MVertex const, unsigned short>, std::allocator<std::pair<MVertex const, unsigned short> >, std::_Select1st<std::pair<MVertex const, unsigned short> >, std::equal_to<MVertex>, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true>::_M_bucket_index(std::__detail::_Hash_node<std::pair<MVertex const, unsigned short>, true>*) const
  0.03     98.25     0.03                             std::_Hashtable<MVertex, std::pair<MVertex const, unsigned short>, std::allocator<std::pair<MVertex const, unsigned short> >, std::_Select1st<std::pair<MVertex const, unsigned short> >, std::equal_to<MVertex>, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true>::_M_find_before_node(unsigned int, MVertex const&, unsigned int) const
  0.03     98.28     0.03                             std::unique_ptr<Terrain, std::default_delete<Terrain> >::get() const
  0.03     98.31     0.03                             std::__detail::_Hash_code_base<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_bucket_index(std::__detail::_Hash_node<std::pair<WaterVertex const, unsigned short>, true> const*, unsigned int) const
  0.03     98.33     0.03                             std::__detail::_Hash_code_base<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_h2() const
  0.03     98.36     0.03                             std::__detail::_Hash_code_base<MVertex, std::pair<MVertex const, unsigned short>, std::_Select1st<std::pair<MVertex const, unsigned short> >, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_bucket_index(std::__detail::_Hash_node<std::pair<MVertex const, unsigned short>, true> const*, unsigned int) const
  0.03     98.39     0.03                             std::_Tuple_impl<0u, Terrain*, std::default_delete<Terrain> >::_M_head(std::_Tuple_impl<0u, Terrain*, std::default_delete<Terrain> > const&)
  0.03     98.42     0.03                             std::_Tuple_impl<4u, float&>::_M_head(std::_Tuple_impl<4u, float&> const&)
  0.03     98.45     0.03                             float* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<float>(float const*, float const*, float*)
  0.03     98.48     0.03                             void std::__iter_swap<true>::iter_swap<__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > >(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >)
  0.03     98.52     0.03                             _ZNSt16allocator_traitsISaIN7Tempest17LocalBufferHolderINS0_18VertexBufferHolderEE8NonFreedEEE9constructIS4_IRKS4_EEEvRS5_PT_DpOT0_
  0.03     98.55     0.03                             std::vector<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref*, std::allocator<Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip::Ref*> >::operator[](unsigned int)
  0.03     98.58     0.03                             std::__detail::_Equal_helper<MVertex, std::pair<MVertex const, unsigned short>, std::_Select1st<std::pair<MVertex const, unsigned short> >, std::equal_to<MVertex>, unsigned int, true>::_S_equals(std::equal_to<MVertex> const&, std::_Select1st<std::pair<MVertex const, unsigned short> > const&, MVertex const&, unsigned int, std::__detail::_Hash_node<std::pair<MVertex const, unsigned short>, true>*)
  0.03     98.61     0.03                             std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true> const&)
  0.03     98.64     0.03                             std::__add_c_ref<unsigned int&>::type std::__get_helper<1u, unsigned int&, float&, float&, float&>(std::_Tuple_impl<1u, unsigned int&, float&, float&, float&> const&)
  0.03     98.67     0.03                             std::_Miter_base<float*>::iterator_type std::__miter_base<float*>(float*)
  0.03     98.69     0.03                             float* std::__copy_move_a<false, float const*, float*>(float const*, float const*, float*)
  0.03     98.72     0.03                             void std::__introsort_loop<__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, int, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*)>(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, int, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*))
  0.03     98.75     0.03                             std::remove_reference<unsigned short&>::type&& std::move<unsigned short&>(unsigned short&)
  0.03     98.78     0.03                             void std::sort<__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*)>(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*))
  0.03     98.81     0.03                             MVertex const& std::forward<MVertex const&>(std::remove_reference<MVertex const&>::type&)
  0.03     98.84     0.03                             unsigned short&& std::forward<unsigned short>(std::remove_reference<unsigned short>::type&)
  0.03     98.88     0.03                             void std::_Destroy<Tempest::AbstractGraphicObject<Material> const**, Tempest::AbstractGraphicObject<Material> const*>(Tempest::AbstractGraphicObject<Material> const**, Tempest::AbstractGraphicObject<Material> const**, std::allocator<Tempest::AbstractGraphicObject<Material> const*>&)
  0.03     98.91     0.03                             __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a<unsigned char*, int>(unsigned char*, unsigned char*, int const&)
  0.02     98.93     0.03                             Game::tick()
  0.02     98.95     0.02                             PainterGUI::PainterGUI(GUIPass&, Resource&, int, int, int, int)
  0.02     98.97     0.02                             MiniMapView::aceptFog(Tempest::Pixmap&, Tempest::Pixmap const&)
  0.02     98.99     0.02                             MiniMapView::drawUnits(Tempest::Pixmap&, World&)
  0.02     99.01     0.02                             GraphicsSystem::render(Scene&, ParticleSystemEngine&, Tempest::Camera, unsigned int)
  0.02     99.03     0.02                             GraphicsSystem::fillGBuf(Tempest::Texture2d*, Tempest::Texture2d&, Tempest::Texture2d const&, Tempest::Texture2d const&, Tempest::Texture2d const&, Scene const&, Tempest::AbstractCamera const&, bool)
  0.02     99.05     0.02                             SmallGraphicsObject::applyTransform()
  0.02     99.07     0.02                             World::tick()
  0.02     99.09     0.02                             GUIPass::rect(int, int, int, int, int, int, int, int)
  0.02     99.11     0.02                             void Tempest::UniformTable::add<float>(float const&, char const*, Tempest::UniformTable::Taget)
  0.02     99.13     0.02                             Tempest::AbstractTexture::~AbstractTexture()
  0.02     99.15     0.02                             Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::allocBuffer(unsigned int, unsigned int, void const*)
  0.02     99.17     0.02                             Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::createObject(Tempest::AbstractAPI::VertexBuffer*&, char const*, int, int)
  0.02     99.19     0.02                             Tempest::Model<MVertex>::~Model()
  0.02     99.21     0.02                             void Tempest::Device::setUniform<Tempest::Texture2d>(Tempest::FragmentShader&, Tempest::Texture2d const&, char const*)
  0.02     99.23     0.02                             void Tempest::Device::drawPrimitive<MVertex>(Tempest::AbstractAPI::PrimitiveType, Tempest::VertexShader const&, Tempest::FragmentShader const&, Tempest::VertexDeclaration const&, Tempest::VertexBuffer<MVertex> const&, int, int)
  0.02     99.25     0.02                             Tempest::Widget::customEvent(Tempest::CustomEvent&)
  0.02     99.27     0.02                             Tempest::Matrix4x4::set(int, int, float)
  0.02     99.29     0.02                             array2d<Terrain::Tile>::LineRef::LineRef()
  0.02     99.31     0.02                             array2d<unsigned char>::operator[](int)
  0.02     99.33     0.02                             array2d<int>::LineRef::operator[](int)
  0.02     99.35     0.02                             Material::~Material()
  0.02     99.37     0.02                             Scenario::uiTick()
  0.02     99.39     0.02                             __gnu_cxx::new_allocator<Tempest::GraphicObject<Material> >::deallocate(Tempest::GraphicObject<Material>*, unsigned int)
  0.02     99.41     0.02                             _ZN9__gnu_cxx13new_allocatorIPN7Tempest14AbstractHolderINS1_16VertexBufferBaseENS1_11AbstractAPI12VertexBufferEE9ImplManip3RefEE9constructIS9_IRKS9_EEEvPT_DpOT0_
  0.02     99.43     0.02                             void __gnu_cxx::new_allocator<unsigned short>::construct<unsigned short, unsigned short>(unsigned short*, unsigned short&&)
  0.02     99.45     0.02                             MVertex::hash::operator()(MVertex const&) const
  0.02     99.47     0.02                             Tempest::Color::r() const
  0.02     99.49     0.02                             Tempest::Detail::Ptr<Tempest::AbstractAPI::VertexBuffer*, Tempest::AbstractHolder<Tempest::VertexBufferBase, Tempest::AbstractAPI::VertexBuffer>::ImplManip>::isNull() const
  0.02     99.51     0.02                             Tempest::Detail::Ptr<Tempest::AbstractAPI::Texture*, Tempest::AbstractHolder<Tempest::Texture2d, Tempest::AbstractAPI::Texture>::ImplManip>::isNull() const
  0.02     99.53     0.02                             Tempest::Device::applyRs() const
  0.02     99.55     0.02                             Tempest::Pixmap::verifyFormatEditable() const
  0.02     99.57     0.02                             Terrain::heightAtNoDepth(int, int) const
  0.02     99.59     0.02                             Material::terrainMinorZ(Tempest::RenderState&, Tempest::Matrix4x4 const&, Tempest::AbstractCamera const&, Tempest::UniformTable&) const
  0.02     99.61     0.02                             __gnu_cxx::__normal_iterator<Tempest::AbstractHolder<Tempest::VertexBufferBase, Tempest::AbstractAPI::VertexBuffer>::ImplManip::Ref**, std::vector<Tempest::AbstractHolder<Tempest::VertexBufferBase, Tempest::AbstractAPI::VertexBuffer>::ImplManip::Ref*, std::allocator<Tempest::AbstractHolder<Tempest::VertexBufferBase, Tempest::AbstractAPI::VertexBuffer>::ImplManip::Ref*> > >::operator-(int const&) const
  0.02     99.63     0.02                             std::_Hashtable<std::string, std::pair<std::string const, Resource::Texture>, std::allocator<std::pair<std::string const, Resource::Texture> >, std::_Select1st<std::pair<std::string const, Resource::Texture> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true>::_M_find_before_node(unsigned int, std::string const&, unsigned int) const
  0.02     99.65     0.02                             std::_Select1st<std::pair<WaterVertex const, unsigned short> >::operator()(std::pair<WaterVertex const, unsigned short>&) const
  0.02     99.67     0.02                             std::vector<Tempest::signal<>::Impl, std::allocator<Tempest::signal<>::Impl> >::size() const
  0.02     99.69     0.02                             std::vector<std::string, std::allocator<std::string> >::end() const
  0.02     99.71     0.02                             std::vector<std::shared_ptr<GameObject>, std::allocator<std::shared_ptr<GameObject> > >::size() const
  0.02     99.73     0.02                             std::vector<unsigned short, std::allocator<unsigned short> >::size() const
  0.02     99.75     0.02                             std::__detail::_Hash_code_base<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_bucket_index(WaterVertex const&, unsigned int, unsigned int) const
  0.02     99.77     0.02                             std::__detail::_Hash_code_base<MVertex, std::pair<MVertex const, unsigned short>, std::_Select1st<std::pair<MVertex const, unsigned short> >, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_h2() const
  0.02     99.79     0.02                             std::__detail::_Hashtable_base<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, std::equal_to<WaterVertex>, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_eq() const
  0.02     99.81     0.02                             std::__detail::_Hashtable_base<MVertex, std::pair<MVertex const, unsigned short>, std::_Select1st<std::pair<MVertex const, unsigned short> >, std::equal_to<MVertex>, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_equals(MVertex const&, unsigned int, std::__detail::_Hash_node<std::pair<MVertex const, unsigned short>, true>*) const
  0.02     99.83     0.02                             std::equal_to<WaterVertex>::operator()(WaterVertex const&, WaterVertex const&) const
  0.02     99.85     0.02                             std::_Hashtable<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::allocator<std::pair<WaterVertex const, unsigned short> >, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, std::equal_to<WaterVertex>, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true>::end()
  0.02     99.87     0.02                             std::_Head_base<0u, Tempest::GraphicObject<Material>*, false>::_M_head(std::_Head_base<0u, Tempest::GraphicObject<Material>*, false>&)
  0.02     99.89     0.02                             std::_Vector_base<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> >::_M_get_Tp_allocator()
  0.02     99.91     0.02                             _ZNSt16allocator_traitsISaI11WaterVertexEE9constructIS0_IRKS0_EEEvRS1_PT_DpOT0_
  0.02     99.93     0.02                             _ZNSt16allocator_traitsISaI7MVertexEE9constructIS0_IRKS0_EEEvRS1_PT_DpOT0_
  0.02     99.95     0.02                             std::vector<GUIPass::Layer, std::allocator<GUIPass::Layer> >::operator[](unsigned int)
  0.02     99.97     0.02                             std::vector<Tempest::AbstractHolder<Tempest::IndexBufferBase, Tempest::AbstractAPI::IndexBuffer>::ImplManip::Ref*, std::allocator<Tempest::AbstractHolder<Tempest::IndexBufferBase, Tempest::AbstractAPI::IndexBuffer>::ImplManip::Ref*> >::operator[](unsigned int)
  0.02     99.99     0.02                             std::vector<std::shared_ptr<Player>, std::allocator<std::shared_ptr<Player> > >::operator[](unsigned int)
  0.02    100.01     0.02                             std::vector<std::shared_ptr<TerrainChunk::PolishView>, std::allocator<std::shared_ptr<TerrainChunk::PolishView> > >::operator[](unsigned int)
  0.02    100.03     0.02                             void std::vector<unsigned short, std::allocator<unsigned short> >::emplace_back<unsigned short>(unsigned short&&)
  0.02    100.05     0.02                             __gnu_cxx::__enable_if<std::__is_scalar<unsigned short>::__value, unsigned short*>::__type std::__fill_n_a<unsigned short*, unsigned int, unsigned short>(unsigned short*, unsigned int, unsigned short const&)
  0.02    100.07     0.02                             _ZSt12__get_helperILj0EP7TerrainISt14default_deleteIS0_EEENSt11__add_c_refIT0_E4typeERKSt11_Tuple_implIXT_EIS5_DpT1_EE
  0.02    100.09     0.02                             std::_Niter_base<__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > >(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >)
  0.02    100.11     0.02                             std::_Niter_base<double*>::iterator_type std::__niter_base<double*>(double*)
  0.02    100.13     0.02                             std::_Niter_base<float*>::iterator_type std::__niter_base<float*>(float*)
  0.02    100.15     0.02                             void std::__move_median_first<__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*)>(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*))
